id,pattern,sentence,blank_sentence,korean_sentence,correct_verb,option_b,option_c,option_d,sentence_structure,category,difficulty,feedback_correct,feedback_wrong
1,1,The meeting starts at nine sharp.,The meeting ___ at nine sharp.,그 회의는 정각 9시에 시작된다.,starts,ends,runs,goes,S(The meeting) + V(starts) + 부사구,Work,medium,Correct! 'Start at' = ~에 시작하다. 1형식: 주어+자동사.,정답은 'starts'. 회의가 '시작되다'는 뜻으로 start at을 씁니다.
2,1,She arrived at the airport two hours early.,She ___ at the airport two hours early.,그녀는 두 시간 일찍 공항에 도착했다.,arrived,reached,got,came,S(She) + V(arrived) + 전치사구,Travel,medium,Correct! 'Arrive at' = ~에 도착하다. reach는 전치사 없이 씁니다.,정답은 'arrived'. arrive at + 장소가 올바른 표현입니다.
3,1,Prices rose sharply during the holiday season.,Prices ___ sharply during the holiday season.,연휴 기간 동안 물가가 급격히 올랐다.,rose,raised,grew,went,S(Prices) + V(rose) + 부사,Economy,hard,"Correct! 'Rise'는 자동사(오르다), 'raise'는 타동사(올리다).",정답은 'rose'. rise는 자동사라 목적어가 없어도 됩니다.
4,1,He responded immediately to her text message.,He ___ immediately to her text message.,그는 그녀의 문자메시지에 즉시 답했다.,responded,replied,reacted,answered,S(He) + V(responded) + 전치사구,Communication,medium,Correct! 'Respond to' = ~에 답하다. 1형식 자동사+전치사.,정답은 'responded'. respond to가 가장 자연스러운 표현입니다.
5,1,The train departed from Seoul Station on time.,The train ___ from Seoul Station on time.,그 기차는 서울역에서 제때 출발했다.,departed,left,moved,started,S(The train) + V(departed) + 전치사구,Travel,medium,Correct! 'Depart from' = ~에서 출발하다.,정답은 'departed'. depart from이 공식적인 표현입니다.
6,1,The situation changed dramatically after the announcement.,The situation ___ dramatically after the announcement.,발표 후 상황이 극적으로 바뀌었다.,changed,shifted,moved,turned,S(The situation) + V(changed) + 부사,General,hard,Correct! change dramatically = 극적으로 바뀌다.,정답은 'changed'. 상황이 '변하다'는 자동사 change를 씁니다.
7,1,She hesitated before answering the question.,She ___ before answering the question.,그녀는 질문에 답하기 전에 망설였다.,hesitated,paused,stopped,waited,S(She) + V(hesitated) + 부사절,Communication,hard,Correct! hesitate = 망설이다. 자동사 1형식.,정답은 'hesitated'. 대답 전 '망설이다'는 hesitate입니다.
8,1,My phone died right before the interview.,My phone ___ right before the interview.,면접 바로 직전에 내 휴대폰이 꺼졌다.,died,stopped,broke,crashed,S(My phone) + V(died) + 부사구,Technology,medium,Correct! 'die' = (기기가) 방전되다·꺼지다. 구어체 표현.,정답은 'died'. 배터리가 다 닳아 꺼질 때 die를 씁니다.
9,1,The audience applauded loudly at the end of the show.,The audience ___ loudly at the end of the show.,공연이 끝나자 관객들이 크게 박수를 쳤다.,applauded,cheered,reacted,responded,S(The audience) + V(applauded) + 부사구,Entertainment,medium,Correct! applaud = 박수를 치다. 자동사.,정답은 'applauded'. 박수를 치는 동작엔 applaud가 정확합니다.
10,1,The deal fell through at the last minute.,The deal ___ through at the last minute.,그 거래는 마지막 순간에 무산되었다.,fell,went,broke,came,S(The deal) + V(fell through) + 부사구,Business,hard,Correct! 'fall through' = (계획·거래가) 무산되다.,정답은 'fell'. fall through는 '무산되다'는 숙어입니다.
11,2,The coffee gets cold very quickly.,The coffee ___ cold very quickly.,커피가 아주 빠르게 식는다.,gets,becomes,turns,goes,S(The coffee) + V(gets) + SC(cold),Daily Routine,easy,Correct! get + 형용사 = ~해지다. 빠른 상태변화에 어울립니다.,정답은 'gets'. get cold = 차가워지다.
12,2,She became more confident after joining the club.,She ___ more confident after joining the club.,동아리에 가입한 후 그녀는 더 자신감 있게 되었다.,became,got,grew,turned,S(She) + V(became) + SC(more confident),Personal Growth,medium,Correct! become + 형용사 = ~해지다. 영구적 변화에 자연스럽습니다.,정답은 'became'. become은 상태의 변화를 나타내는 연결동사입니다.
13,2,The food smells really good from outside.,The food ___ really good from outside.,밖에서 음식 냄새가 정말 좋다.,smells,tastes,looks,sounds,S(The food) + V(smells) + SC(good),Daily Routine,easy,Correct! smell + 형용사 = ~한 냄새가 나다. 2형식 감각동사.,정답은 'smells'. 냄새를 표현할 땐 smell을 씁니다.
14,2,He remained calm throughout the entire argument.,He ___ calm throughout the entire argument.,그는 논쟁 내내 침착함을 유지했다.,remained,stayed,kept,seemed,S(He) + V(remained) + SC(calm),Emotions,hard,Correct! remain + 형용사 = (상태를) 유지하다. 격식체.,정답은 'remained'. remain calm은 격식 있는 표현입니다.
15,2,That excuse sounds a bit weak to me.,That excuse ___ a bit weak to me.,그 변명은 나에게 좀 궁색하게 들린다.,sounds,seems,looks,feels,S(That excuse) + V(sounds) + SC(weak),Communication,medium,Correct! sound + 형용사 = ~하게 들리다. 감각동사 2형식.,정답은 'sounds'. sound는 말이나 이유가 ~하게 들릴 때 씁니다.
16,2,The milk has gone sour; don't drink it.,The milk has ___ sour; don't drink it.,우유가 상했으니 마시지 마세요.,gone,turned,become,gotten,S(The milk) + V(gone) + SC(sour),Daily Routine,hard,Correct! 'go + 형용사'는 나쁜 상태 변화에 씁니다: go bad/sour/wrong.,정답은 'gone'. go sour = 상하다. go는 부정적 변화에 사용합니다.
17,2,The issue turned out to be more serious than expected.,The issue turned ___ to be more serious than expected.,그 문제는 예상보다 훨씬 심각한 것으로 드러났다.,out,up,into,over,S(The issue) + V(turned out) + SC(to be serious),General,hard,Correct! 'turn out to be' = 결국 ~으로 판명되다.,정답은 'out'. turn out to be는 결과를 나타내는 표현입니다.
18,2,Her voice grew soft when she talked about her family.,Her voice ___ soft when she talked about her family.,가족 얘기를 할 때 그녀의 목소리가 부드러워졌다.,grew,got,became,turned,S(Her voice) + V(grew) + SC(soft),Emotions,hard,Correct! grow + 형용사 = 점점 ~해지다. 서서히 변화.,정답은 'grew'. grow soft는 목소리가 부드러워지는 점진적 변화입니다.
19,2,Everything looks much better after a good night's sleep.,Everything ___ much better after a good night's sleep.,충분히 잠을 자고 나면 모든 것이 훨씬 나아 보인다.,looks,feels,seems,appears,S(Everything) + V(looks) + SC(better),Health,easy,Correct! look + 형용사 = ~해 보이다. 시각적 판단.,정답은 'looks'. 상황이 '더 나아 보인다'는 표현으로 look이 적합합니다.
20,2,He appeared nervous during his first presentation.,He ___ nervous during his first presentation.,그는 첫 발표 중에 긴장해 보였다.,appeared,looked,seemed,acted,S(He) + V(appeared) + SC(nervous),Work,medium,Correct! appear + 형용사 = ~해 보이다. 격식체 표현.,정답은 'appeared'. appear nervous = 긴장해 보이다.
21,3,I completely missed the point of his argument.,I completely ___ the point of his argument.,나는 그의 주장의 요점을 완전히 놓쳤다.,missed,lost,skipped,ignored,S(I) + V(missed) + O(the point),Communication,medium,Correct! 'miss the point' = 요점을 놓치다. 관용적 표현.,정답은 'missed'. miss the point = 요점을 파악 못하다.
22,3,She handled the complaint very professionally.,She ___ the complaint very professionally.,그녀는 민원을 매우 전문적으로 처리했다.,handled,dealt,managed,solved,S(She) + V(handled) + O(the complaint),Work,hard,Correct! handle = 처리하다. deal은 deal with처럼 전치사가 필요합니다.,정답은 'handled'. handle은 타동사라 전치사 없이 목적어를 바로 씁니다.
23,3,He keeps checking his phone during meals.,He keeps ___ his phone during meals.,그는 식사 중에 계속 휴대폰을 확인한다.,checking,looking,using,touching,S(He) + V(keeps) + O(checking his phone),Daily Routine,easy,Correct! keep + -ing = 계속 ~하다.,정답은 'checking'. keep checking = 계속 확인하다.
24,3,The company launched a new product last month.,The company ___ a new product last month.,그 회사는 지난달에 새 제품을 출시했다.,launched,released,started,opened,S(The company) + V(launched) + O(a new product),Business,medium,Correct! launch a product = 제품을 출시하다.,정답은 'launched'. launch는 신제품 출시에 가장 적합한 동사입니다.
25,3,I appreciate your help more than you know.,I ___ your help more than you know.,당신의 도움에 정말 감사드립니다.,appreciate,value,respect,acknowledge,S(I) + V(appreciate) + O(your help),Social,medium,Correct! appreciate = 고마워하다. 3형식 타동사.,정답은 'appreciate'. 도움에 감사할 때 appreciate를 씁니다.
26,3,She avoided making eye contact during the meeting.,She ___ making eye contact during the meeting.,그녀는 회의 중에 눈 맞춤을 피했다.,avoided,stopped,prevented,skipped,S(She) + V(avoided) + O(making eye contact),Communication,hard,Correct! avoid + -ing = ~을 피하다. 동명사 목적어.,정답은 'avoided'. avoid는 동명사(~ing)를 목적어로 씁니다.
27,3,He quit his job without telling anyone.,He ___ his job without telling anyone.,그는 아무에게도 말하지 않고 직장을 그만뒀다.,quit,left,dropped,abandoned,S(He) + V(quit) + O(his job),Work,medium,Correct! quit a job = 직장을 그만두다. 구어체에서 흔히 쓰입니다.,정답은 'quit'. quit your job이 가장 자연스러운 표현입니다.
